category,species_taxid,num_taxa,num_genes,Species,Family,Order,Class,Phylum,Gram_stain,Host_or_free,Obligate_facultative,Host_range_taxonomic,Host_range_name,Host_range_b_or_n,Host_primary_location,Host_secondary_location,Host_inside_outside,Intra_or_extracellular,Host_type,Effect_on_host,Primary_environment,Secondary_environment,Category_primary_env,Motility,Spore,Plant,Mammal,Soil,Freshwater,Marine_water,Fish,Amphibians,Bird,Insects,Reptiles,Sponges,Protozoa,Nematodes,Sand,Sediment,Algae,Molluscs,Crustacean,Total_envs,pangenome_fluidity,fluidity_calc,openness,Per_core_100,accessory_100,core_100,percentage_core_100,pan_size,accessory_90,core_90,percentage_core_90,accessory_80,core_80,percentage_core_80,percentage_accessory_20,percentage_accessory_10,Ne
Open,438,63,3309,acetobacter_pasteurianus,Acetobacteraceae,Rhodospirillales,Alphaproteobacteria,Proteobacteria,Negative,Host,Facultative,Class,Eudicots,Broad,Fruit,Flowers,Outside,Extracellular,Plant,Mutualist,Plant,Food,Host,Both,No,1.0,,,,,,,,,,,,,,,,,,1.0,0.170898847,0.3205552,0.7364953,0.68768795,2090.0,1926.0,0.479581673,4016.0,1891.0,2125.0,0.529133466,1709.0,2307.0,0.574452191,0.289840637,0.21937251,
Open,470,11,847,acinetobacter_baumannii,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Negative,Both,Facultative,Unknown,Unknown,Unknown,Wound,Lungs Blood Bain,Both,Extracellular,Animal,Pathogen,Human,Hospital,Host,Both,No,,1.0,1.0,,,,,,,,,,,,,,,,2.0,0.23261969,0.2792649,0.5775796,0.424895804,8667.0,1568.0,0.153199805,10235.0,7391.0,2844.0,0.277870054,7234.0,3001.0,0.293209575,0.61260381,0.546555936,413747407.8
Moderate,48296,26,3579,acinetobacter_pittii,Moraxellaceae,Pseudomonadales,Gammaproteobacteria,Proteobacteria,Negative,Host,Facultative,Unknown,Unknown,Unknown,Blood,Spine Blood,Inside,Extracellular,Animal,Pathogen,Human,Hospital,Host,Non-motile,No,,1.0,,,,,,,,,,,,,,,,,1.0,0.257843653,0.2504558,0.610832,0.725560359,3793.0,2716.0,0.417268398,6509.0,3524.0,2985.0,0.45859579,3423.0,3086.0,0.474112767,0.411276694,0.315870333,333479454.4
Moderate,644,492,5776,aeromonas_hydrophila,Aeromonadaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,Negative,Both,Facultative,Phylum,Chordata,Broad,Gut,Blood Wound,Inside,Extracellular,Animal,Pathogen,Water,Animal,Free,Motile,No,,1.0,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,6.0,0.202340218,0.2119817,0.4644162,0.670808851,5155.0,2930.0,0.362399505,8085.0,4544.0,3541.0,0.437971552,4318.0,3767.0,0.465924552,0.416326531,0.335435993,349475037.6
Open,314275,28,20843,alteromonas_mediterranea,Alteromonadaceae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Negative,Free,,,,,,,,,,,Marine,,Free,Motile,No,,,,,1.0,,,,,,,,,,,,,,1.0,0.295576483,0.2841973,0.5112845,0.66559375,4446.0,2601.0,0.369093231,7047.0,4125.0,2922.0,0.41464453,4031.0,3016.0,0.427983539,0.35050376,0.195544203,
Moderate,1390,8,2856,bacillus_amyloliquefaciens,Bacillaceae,Caryophanales,Bacilli,Firmicutes,Positive,Both,Facultative,Unknown,Unknown,Unknown,Root,Stem Leaf,Both,Extracellular,Plant,Mutualist,Soil,Plant,Free,Motile,Yes,1.0,,1.0,,,,,,,,,,,,,,,,2.0,0.167501241,0.1684215,0.7467319,0.749861772,3481.0,2821.0,0.447635671,6302.0,3107.0,3195.0,0.506981911,3010.0,3292.0,0.52237385,0.365280863,0.253094256,322649554.0
Moderate,1392,42,13476,bacillus_anthracis,Bacillaceae,Caryophanales,Bacilli,Firmicutes,Positive,Host,Obligate,Class,Mammalia,Broad,Spleen,Blood Lymphatic,Inside,Both,Animal,Pathogen,Ungulate,Mammal,Host,Non-motile,Yes,,1.0,,,,,,,,,,,,,,,,,1.0,0.070401348,0.06737886,0.5339647,0.636685311,3405.0,3528.0,0.508870619,6933.0,1707.0,5226.0,0.75378624,1575.0,5358.0,0.772825617,0.177268138,0.169046589,
Open,1396,102,14936,bacillus_cereus,Bacillaceae,Caryophanales,Bacilli,Firmicutes,Positive,Both,Facultative,Domain,Eukaryota,Broad,Gut Root,Blood,Inside,Extracellular,Both,Both,Soil,Animal Plant,Free,Motile,Yes,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,5.0,0.276496422,0.2844901,0.4607173,0.52077357,12302.0,2865.0,0.188896947,15167.0,11102.0,4065.0,0.268016088,10861.0,4306.0,0.283905848,0.597019846,0.516318323,361887822.4
Moderate,1402,4,963,bacillus_licheniformis,Bacillaceae,Caryophanales,Bacilli,Firmicutes,Positive,Both,Facultative,Domain,Eukaryota,Broad,Feather,Gut,Both,Extracellular,Both,Both,Soil,Feathers,Free,Motile,Yes,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,5.0,0.139226094,0.132852,0.7534433,0.806527655,2519.0,3473.0,0.579606142,5992.0,2228.0,3764.0,0.628170895,2088.0,3904.0,0.651535381,0.223965287,0.117489987,
Moderate,1408,55,13433,bacillus_pumilus,Bacillaceae,Caryophanales,Bacilli,Firmicutes,Positive,Both,Facultative,Domain,Eukaryota,Broad,Root,Gut Feather,Both,Extracellular,Both,Both,Soil,Plant,Free,Motile,Yes,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,5.0,0.142191352,0.1615041,0.7375542,0.827410801,2042.0,3087.0,0.60187171,5129.0,1862.0,3267.0,0.63696627,1788.0,3341.0,0.651394034,0.202573601,0.162019887,359670448.7
Moderate,1423,153,15370,bacillus_subtilis,Bacillaceae,Caryophanales,Bacilli,Firmicutes,Positive,Both,Facultative,Domain,Eukaryota,Broad,Root,Gut,Both,Extracellular,Both,Mutualist,Soil,Plant,Free,Motile,Yes,1.0,1.0,1.0,,1.0,,,1.0,1.0,,1.0,,,,,,,,7.0,0.223477152,0.1813137,0.4682126,0.370661878,9276.0,1501.0,0.139278092,10777.0,7522.0,3255.0,0.302032105,7304.0,3473.0,0.322260369,0.582072933,0.53929665,322444029.9
Open,1428,39,2802,bacillus_thuringiensis,Bacillaceae,Caryophanales,Bacilli,Firmicutes,Positive,Both,Facultative,Kingdom,Animalia,Broad,Gut,Midgut,Inside,Extracellular,Animal,Pathogen,Soil,Invertebrate,Free,Motile,Yes,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,4.0,0.319107309,0.3195721,0.5820863,0.45672791,14578.0,2712.0,0.156853673,17290.0,13180.0,4110.0,0.237709659,12965.0,4325.0,0.250144592,0.613360324,0.53880856,374491212.6
Moderate,492670,29,8534,bacillus_velezensis,Bacillaceae,Caryophanales,Bacilli,Firmicutes,Positive,Both,Facultative,Domain,Eukaryota,Broad,Root,Gut,Both,Extracellular,Both,Mutualist,Rhizosphere,Soil Gut,Host,Motile,Yes,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,4.0,0.151014902,0.148644,0.6730014,0.658343327,5063.0,2499.0,0.33046813,7562.0,4256.0,3306.0,0.43718593,4155.0,3407.0,0.450542185,0.46469188,0.408886538,
Moderate,28025,11,9096,bifidobacterium_animalis,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Positive,Host,Facultative,Phylum,Chordata,Broad,Gut,Milk,Inside,Extracellular,Animal,Mutualist,Gut,Milk Sewage,Host,Non-motile,No,,1.0,,,,,,1.0,,,,,,,,,,,2.0,0.089261213,0.1726734,1.12445,0.729661836,848.0,1133.0,0.571933367,1981.0,631.0,1350.0,0.681474003,462.0,1519.0,0.766784452,0.203937405,0.161029783,
Open,1685,34,4552,bifidobacterium_breve,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Positive,Host,Facultative,Species,Homo sapiens,Narrow,Gut,Milk,Inside,Extracellular,Animal,Mutualist,Gut,Milk,Host,Non-motile,No,,1.0,,,,,,,,,,,,,,,,,1.0,0.260085368,0.2757643,0.7743859,0.609521965,3018.0,1157.0,0.277125749,4175.0,2735.0,1440.0,0.34491018,2654.0,1521.0,0.364311377,0.500359281,0.397365269,283915466.7
Open,216816,50,21584,bifidobacterium_longum,Bifidobacteriaceae,Bifidobacteriales,Actinobacteria,Actinobacteria,Positive,Host,Facultative,Class,Mammalia,Broad,Gut,,Inside,Extracellular,Animal,Mutualist,Gut,,Host,Non-motile,No,,1.0,,,,,,,,,,,,,,,,,1.0,0.353111774,0.3515298,0.7664277,0.546798923,3731.0,1065.0,0.22206005,4796.0,3532.0,1264.0,0.263552961,3392.0,1404.0,0.292743953,0.560675563,0.414512093,336115447.6
Closed,35814,23,3129,bordetella_holmesii,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Negative,Host,Obligate,Species,Homo sapiens,Narrow,Blood,Respiratory,Inside,Both,Animal,Pathogen,Blood,Respiratory,Host,Non-motile,No,,1.0,,,,,,,,,,,,,,,,,1.0,0.041820351,0.008633487,1.791615,0.812634657,705.0,2473.0,0.778162366,3178.0,213.0,2965.0,0.932976715,102.0,3076.0,0.967904342,0.011957206,0.008181246,
Moderate,520,6,1955,bordetella_pertussis,Alcaligenaceae,Burkholderiales,Betaproteobacteria,Proteobacteria,Negative,Host,Obligate,Species,Homo sapiens,Narrow,Respiratory,,Inside,Both,Animal,Pathogen,Respiratory,,Host,Both,No,,1.0,,,,,,,,,,,,,,,,,1.0,0.016285923,0.0142178,0.7469693,0.70996849,1325.0,2337.0,0.63817586,3662.0,385.0,3277.0,0.894866193,346.0,3316.0,0.905516111,0.083287821,0.078099399,95477591.09
