species_taxid,species_name,number_of_samples
730,[Haemophilus] ducreyi,28
438,Acetobacter pasteurianus,14
85698,Achromobacter xylosoxidans,23
470,Acinetobacter baumannii,609
29430,Acinetobacter haemolyticus,15
756892,Acinetobacter indicus,21
40214,Acinetobacter johnsonii,19
40215,Acinetobacter junii,11
28090,Acinetobacter lwoffii,11
106654,Acinetobacter nosocomialis,12
48296,Acinetobacter pittii,39
1530123,Acinetobacter seifertii,25
718,Actinobacillus equuli,24
715,Actinobacillus pleuropneumoniae,36
648,Aeromonas caviae,46
196024,Aeromonas dhakensis,29
644,Aeromonas hydrophila,67
651,Aeromonas media,13
645,Aeromonas salmonicida,37
654,Aeromonas veronii,56
714,Aggregatibacter actinomycetemcomitans,25
1183401,Agrobacterium fabacearum,11
1176649,Agrobacterium fabrum,17
648995,Agrobacterium pusense,12
358,Agrobacterium tumefaciens,44
239935,Akkermansia muciniphila,101
511,Alcaligenes faecalis,22
28198,Aliarcobacter cryaerophilus,10
28108,Alteromonas macleodii,16
314275,Alteromonas mediterranea,16
728,Avibacterium paragallinarum,16
293387,Bacillus altitudinis,43
1390,Bacillus amyloliquefaciens,76
1392,Bacillus anthracis,128
1452,Bacillus atrophaeus,10
1396,Bacillus cereus,159
580165,Bacillus cytotoxicus,17
260554,Bacillus halotolerans,14
1402,Bacillus licheniformis,44
1405,Bacillus mycoides,53
1648923,Bacillus paralicheniformis,28
2026186,Bacillus paranthracis,15
1408,Bacillus pumilus,22
561879,Bacillus safensis,27
1423,Bacillus subtilis,311
1428,Bacillus thuringiensis,102
155322,Bacillus toyonensis,13
492670,Bacillus velezensis,328
817,Bacteroides fragilis,28
28116,Bacteroides ovatus,15
818,Bacteroides thetaiotaomicron,28
38323,Bartonella henselae,14
2267275,Bartonella krasnovii,15
803,Bartonella quintana,11
1680,Bifidobacterium adolescentis,12
28025,Bifidobacterium animalis,42
1681,Bifidobacterium bifidum,14
1685,Bifidobacterium breve,51
216816,Bifidobacterium longum,98
28026,Bifidobacterium pseudocatenulatum,10
1694,Bifidobacterium pseudolongum,12
1653831,Blattabacterium cuenoti,49
164514,Blattabacterium punctulatus,10
518,Bordetella bronchiseptica,25
103855,Bordetella hinzii,18
35814,Bordetella holmesii,66
519,Bordetella parapertussis,90
520,Bordetella pertussis,593
140,Borrelia hermsii,11
47466,Borrelia miyamotoi,46
29518,Borreliella afzelii,33
664662,Borreliella bavariensis,15
139,Borreliella burgdorferi,14
29519,Borreliella garinii,56
52584,Brachyspira pilosicoli,11
1355477,Bradyrhizobium diazoefficiens,18
235,Brucella abortus,62
36855,Brucella canis,10
29459,Brucella melitensis,106
29461,Brucella suis,24
9,Buchnera aphidicola,72
152480,Burkholderia ambifaria,15
95486,Burkholderia cenocepacia,71
292,Burkholderia cepacia,21
488447,Burkholderia contaminans,16
28095,Burkholderia gladioli,12
337,Burkholderia glumae,52
13373,Burkholderia mallei,34
87883,Burkholderia multivorans,80
28450,Burkholderia pseudomallei,163
57975,Burkholderia thailandensis,25
60552,Burkholderia vietnamiensis,14
195,Campylobacter coli,72
199,Campylobacter concisus,16
196,Campylobacter fetus,27
197,Campylobacter jejuni,300
201,Campylobacter lari,12
114186,Candidatus Carsonella ruddii,11
1922217,Candidatus Erwinia haradaeae,11
336810,Candidatus Karelsulcia muelleri,58
34021,Candidatus Liberibacter asiaticus,12
2588536,Candidatus Methylopumilus universalis,29
1160784,Candidatus Nasuia deltocephalinicola,10
91844,Candidatus Portiera aleyrodidarum,14
1063,Cereibacter sphaeroides,16
83555,Chlamydia abortus,12
83560,Chlamydia muridarum,24
85991,Chlamydia pecorum,12
83558,Chlamydia pneumoniae,12
83554,Chlamydia psittaci,24
83559,Chlamydia suis,32
813,Chlamydia trachomatis,140
253,Chryseobacterium indologenes,12
35703,Citrobacter amalonaticus,11
57706,Citrobacter braakii,39
1748967,Citrobacter cronae,12
546,Citrobacter freundii,109
545,Citrobacter koseri,16
1639133,Citrobacter portucalensis,28
28447,Clavibacter michiganensis,34
1496,Clostridioides difficile,158
1520,Clostridium beijerinckii,10
1491,Clostridium botulinum,67
1492,Clostridium butyricum,18
1502,Clostridium perfringens,81
1509,Clostridium sporogenes,12
38284,Corynebacterium accolens,10
1717,Corynebacterium diphtheriae,55
1718,Corynebacterium glutamicum,36
43769,Corynebacterium propinquum,13
1719,Corynebacterium pseudotuberculosis,156
65058,Corynebacterium ulcerans,21
777,Coxiella burnetii,42
